soc6_id,ai,software,robot,nra,nri,nrm,rc,rm,req,wages,employment
13-1075,1.3191696330544764,-0.536634151,-0.696521175,1.264482040214546,1.4036612401847588,-1.404738072,-1.583253614,-1.421823661,high,42.05,62200
13-1081,1.2812924086434414,0.18535021041056482,-0.566631895,1.0598044854150024,0.7965455375182809,-1.242108944,0.13532639336557944,-0.703854177,high,39.05,202970
13-1082,1.0636934682977273,-0.040350434,-0.628954446,NA,NA,NA,NA,NA,high,48.85,843910
13-1111,1.4176528386632277,-0.394943903,-0.58953746,1.748623179451929,1.3695536164394513,-1.557410315,-0.907238751,-1.368967012,high,50.32,808860
13-1121,0.34949280639898517,-0.11522637,-0.328158615,0.7567242600387544,1.5537347846641125,-0.352627182,-0.889211688,-0.056360225,high,28.239999999999995,112070
13-1131,1.2260514676783079,-0.775224903,-0.635053376,1.2526737197453413,1.642414606401913,-1.258703753,-1.267780011,-1.219206506,high,32.059999999999995,94630
13-1141,1.4262998786769163,-0.509600136,-0.766832885,1.0696447524726727,0.05299934,-1.331720913,0.4538045066500452,-0.800758034,high,36.5,93550
13-1151,1.1814861090269932,-0.907122356,-0.811387739,1.075548912707275,1.4173042896828822,-1.364910531,-1.979849001,-1.267658435,high,33.59,367180
13-1161,1.4119406250220656,0.8215438550832973,-0.34605166,2.0497353514166425,0.35655719120381163,-1.54911291,-0.645846337,-1.313908003,high,37.92,798620
13-1199,1.0293736948179384,-0.472202775,-0.633135438,0.5067814767739269,0.4350047258180189,-1.500987964,-1.000378577,-1.260317233,high,39.75,1081230
13-2011,1.4676488371737462,-0.699041333,-0.674759913,0.721299299,0.9602621314957581,-1.51094485,0.8413863614962334,-1.170754578,high,41.7,1402420
13-2022,0.8211032568635868,0.091167568,-0.527794329,NA,NA,NA,NA,NA,high,38.68,29985
13-2023,0.8211032568635868,0.091167568,-0.527794329,0.5028453699508589,-0.608688561,-0.365903029,0.7061833888754703,-1.104683766,high,38.68,29985
13-2031,1.488874857898291,-1.17079194,-0.845469978,0.6327368951121078,-0.383578244,-1.464479384,1.1298193697538617,-0.985756306,high,42.16,48430
13-2041,1.3296998869647036,0.026177383574970115,-0.78583679,0.6445452155813125,-0.131181828,-1.481074193,0.8503998930042844,-1.025398793,high,44.32,71960
13-2051,1.365372963921269,-0.053928572,-0.666064611,NA,NA,NA,NA,NA,high,52.3,291370
